#, Artist, Title, Album, Genre, Year
"1", "Priety Zinta", "Time to Disco..", "Kal Ho na ho", "Other", "1990"
"2", "Metallica", "One", "And Justice F..", "Unknown", "1992"
"3", "Home Alone II", "Jingle Bells ..", "Home Alone II..", "Other", "1992"
"4", "Metallica", "Master of Pup..", "Master of Pup..", "Unknown", "1993"
"5", "WWE / ECW", "Kurt Angle Th..", "ECW", "Other", "1994"
"6", "Jim Carrey", "Cable Guy", "Cable Guy", "Pop", "1994"
"7", "WWE", "Kane", "WWE Anthology..", "Metal", "1995"
"8", "John Denver", "Leaving on a...", "Greatest Hits..", "Country", "1997"
"9", "Yanni", "Nightingale", "Tribute", "New Age", "1997"
"10", "The Wondermints", "Austin Powers..", "Austin Powers..", "Other", "1997"
"11", "Daniel Powter", "Bad Day", "Bad Day", "Pop", "1997"
"12", "Metallica", "Fuel", "Reload", "Metal", "1997"
"13", "Roxette", "Sleeping in M..", "Crash! Boom! ..", "Rock", "1998"
"14", "Chumbawamba", "Tub Thumping", "Now Thats Mus..", "Rock", "1998"
"15", "Bangles", "Manic Monday", "Unknown", "New Wave", "1999"
"16", "BackStreet boys", "Larger Than L..", "That way..", "Rock", "1999"
"17", "Enya", "Only Time", "Only Time", "Pop", "2000"
"18", "Rossini", "William Tell", "William Tell", "Classical", "2000"
"19", "Shaggy", "It Wasn't Me", "Hot Shot", "RnB", "2000"
"20", "Alien Ant Farm", "Smooth Crimin..", "Anthology", "Rock", "2001"
"21", "Metallica", "Devil's Dance..", "S and M", "Rock", "2001"
"22", "Simple Plan", "New Scooby Do..", "Scooby Doo", "Rock", "2002"
"23", "Black Eyed Peas", "Let's Get Ret..", "Elephunk", "Other", "2003"
"24", "Iron Maiden", "Dance Of Deat..", "Dance Of Deat..", "Metal", "2003"
"25", "Eminem", "Toy Soldiers", "Encore", "Rap", "2004"
"26", "John Cena", "Basic Thugono..", "WWE Originals..", "Rock", "2004"
"27", "Kailash", "New Song", "New Album", "Rock", "2007"
"28", "Kamalesh", "Boogie woogie..", "Family", "RoCK!", "2007"
